"Rule ID","Description","Severity","Tags"
"76","Source files should not have any duplicated blocks","MAJOR","pitfall"
"950","Try-with-resources should be used","CRITICAL","cert,java8,pitfall"
"951","Cookies should be ""secure""","MINOR","cwe,owasp-a2,owasp-a6"
"952","Return values should not be ignored when they contain the operation status code","MINOR","cert,cwe,error-handling,misra"
"953","Resources should be closed","BLOCKER","cert,cwe,denial-of-service,leak"
"954","Classes should not be empty","MINOR","clumsy"
"955","""equals(Object obj)"" should test argument type","MINOR",""
"957","Packages containing only ""package-info.java"" should be removed","MINOR","unused"
"958","""getClass"" should not be used for synchronization","MAJOR","cert,multi-threading"
"959","""enum"" fields should not be publicly mutable","MINOR","bad-practice"
"960","""Stream"" call chains should be simplified when possible","MINOR","clumsy"
"961","Modifiers should be declared in the correct order","MINOR","convention"
"965","Map values should not be replaced unconditionally","MAJOR","suspicious"
"966","Methods should not have identical implementations","MAJOR","confusing,duplicate,suspicious"
"969","""java.nio.Files#delete"" should be preferred","MAJOR","api-design,error-handling"
"971","Assignments should not be redundant","MAJOR","redundant"
"972","""throws"" declarations should not be superfluous","MINOR","clumsy,redundant,unused"
"973","The diamond operator (""<>"") should be used","MINOR","clumsy"
"974","""toArray"" should be passed an array of the proper type","MINOR",""
"976","Class variable fields should not have public accessibility","MINOR","cwe"
"978","The non-serializable super class of a ""Serializable"" class should have a no-argument constructor","MINOR","serialization"
"979","Class names should not shadow interfaces or superclasses","CRITICAL","pitfall"
"980","Inappropriate ""Collection"" calls should not be made","MAJOR","cert"
"981","Short-circuit logic should be used in boolean contexts","BLOCKER","cert"
"983","Child class methods named for parent class methods should be overrides","MAJOR","pitfall"
"985","String function use should be optimized for single characters","MAJOR","clumsy,performance"
"986","Future keywords should not be used as names","BLOCKER","obsolete,pitfall"
"987","Classes from ""sun.*"" packages should not be used","MAJOR","lock-in,pitfall"
"988","String literals should not be duplicated","CRITICAL","design"
"989","Exception types should not be tested using ""instanceof"" in catch blocks","MAJOR","cert,clumsy,error-handling"
"990","Subclasses that add fields should override ""equals""","MINOR","suspicious"
"992","Static fields should not be updated in constructors","MAJOR",""
"994","Array designators ""[]"" should be located after the type in method signatures","MINOR","convention"
"996","URIs should not be hardcoded","MINOR","android,cert"
"997","""finalize"" should not set fields to ""null""","MINOR","clumsy,performance"
"999","Array designators ""[]"" should be on the type, not the variable","MINOR","convention"
"1002","""compareTo"" should not return ""Integer.MIN_VALUE""","MINOR",""
"1003","Nested code blocks should not be used","MINOR","bad-practice"
"1004","Classes named like ""Exception"" should extend ""Exception"" or a subclass","MAJOR","convention,pitfall"
"1005","Double-checked locking should not be used","BLOCKER","cert,cwe,multi-threading"
"1007","Default EJB interceptors should be declared in ""ejb-jar.xml""","BLOCKER",""
"1012","""writeObject"" should not be the only ""synchronized"" code in a class","MAJOR","confusing"
"1013","Empty statements should be removed","MINOR","cert,misra,unused"
"1014","SQL binding mechanisms should be used","BLOCKER","cert,cwe,hibernate,owasp-a1,sans-top25-insecure,sql"
"1019","""wait"" should not be called when multiple locks are held","BLOCKER","deadlock,multi-threading"
"1021","Standard outputs should not be used directly to log anything","MAJOR","bad-practice,cert"
"1022","""Externalizable"" classes should have no-arguments constructors","MAJOR",""
"1023","Ints and longs should not be shifted by zero or more than their number of bits-1","MINOR","cert"
"1024","""readResolve"" methods should be inheritable","CRITICAL","pitfall"
"1026","Custom serialization method signatures should meet requirements","MAJOR","cert"
"1027","Silly math should not be performed","MAJOR","clumsy"
"1028","Math operands should be cast before assignment","MINOR","cert,cwe,misra,overflow,sans-top25-risky"
"1030","""Serializable"" inner classes of non-serializable classes should be ""static""","MINOR","cert,serialization"
"1031","Raw byte values should not be used in bitwise operations in combination with shifts","MAJOR","cert"
"1032","TestCases should contain tests","BLOCKER","confusing,tests,unused"
"1033","Fields in non-serializable classes should not be ""transient""","MINOR","serialization,unused"
"1034","JUnit assertions should not be used in ""run"" methods","CRITICAL","tests"
"1035","Credentials should not be hard-coded","BLOCKER","cert,cwe,owasp-a2,sans-top25-porous"
"1036","Loops should not be infinite","BLOCKER","cert"
"1037","""private"" methods called only by inner classes should be moved to those classes","MINOR","confusing"
"1038","JUnit test cases should call super methods","BLOCKER","tests"
"1039","Abstract methods should not be redundant","MINOR","confusing"
"1041","Loops should not contain more than a single ""break"" or ""continue"" statement","MINOR","brain-overload"
"1042","Deprecated elements should have both the annotation and the Javadoc tag","MAJOR","bad-practice,obsolete"
"1043","Lamdbas containing only one statement should not nest this statement in a block","MINOR","java8"
"1044","""Object.wait(...)"" should never be called on objects that implement ""java.util.concurrent.locks.Condition""","MAJOR","suspicious"
"1045","Methods and field names should not be the same or differ only by capitalization","BLOCKER","confusing"
"1046","Anonymous inner classes containing only one method should become lambdas","MAJOR","java8"
"1047","""Iterator.hasNext()"" should not call ""Iterator.next()""","MAJOR",""
"1048","Tests should not be ignored","MAJOR","suspicious,tests"
"1049","Switch cases should end with an unconditional ""break"" statement","BLOCKER","cert,cwe,misra,suspicious"
"1052","Annotation repetitions should not be wrapped","MINOR","java8"
"1054","""Thread.sleep"" should not be used in tests","MAJOR","bad-practice"
"1055","JUnit rules should be used","MINOR","tests,unused"
"1057","Local variables should not shadow class fields","MAJOR","cert,pitfall"
"1058","All branches in a conditional structure should not have exactly the same implementation","MAJOR",""
"1059","Exceptions should not be thrown from servlet methods","MINOR","cert,cwe,error-handling,owasp-a6"
"1060","""DateUtils.truncate"" from Apache Commons Lang library should not be used","MAJOR","java8,performance"
"1062","Synchronization should not be based on Strings or boxed primitives","MAJOR","cert,multi-threading"
"1063","Related ""if/else if"" statements should not have the same condition","MAJOR","cert,pitfall,unused"
"1065","Parentheses should be removed from a single lambda input parameter when its type is inferred","MINOR","java8"
"1067","Lambdas should be replaced with method references","MINOR","java8"
"1068","Dead stores should be removed","MAJOR","cert,cwe,unused"
"1069","""toString()"" should never be called on a String object","MINOR","clumsy,finding"
"1071","Abstract classes without fields should be converted to interfaces","MINOR","java8"
"1072","""switch"" statements should end with ""default"" clauses","CRITICAL","cert,cwe,misra"
"1073","""@Deprecated"" code should not be used","MINOR","cert,cwe,obsolete"
"1076","""ThreadLocal.withInitial"" should be preferred","MINOR","java8"
"1077","Redundant casts should not be used","MINOR","clumsy,redundant"
"1081","A field should not duplicate the name of its containing class","MAJOR","brain-overload"
"1084","""indexOf"" checks should use a start position","MINOR","confusing"
"1085","Fields in a ""Serializable"" class should either be transient or serializable","CRITICAL","cwe,serialization"
"1087","Boolean checks should not be inverted","MINOR","pitfall"
"1088","""close()"" calls should not be redundant","MINOR","redundant"
"1089","""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs","MINOR","cert,cwe"
"1095","Collection sizes and array length comparisons should make sense","MAJOR",""
"1097","Web applications should not have a ""main"" method","CRITICAL","cert,cwe,jee"
"1098","Exception should not be created without being thrown","MAJOR",""
"1099","""equals"" method overrides should accept ""Object"" parameters","MAJOR","suspicious"
"1100","""public static"" fields should be constant","MINOR","cert,cwe"
"1101","Week Year (""YYYY"") should not be used for date formatting","MAJOR","suspicious"
"1102","Unused ""private"" classes should be removed","MAJOR","unused"
"1103","Inheritance tree of classes should not be too deep","MAJOR","design"
"1106","""StringBuilder"" and ""StringBuffer"" should not be instantiated with a character","MAJOR","pitfall"
"1107","Declarations should use Java collection interfaces such as ""List"" rather than specific implementation classes such as ""LinkedList""","MINOR","bad-practice"
"1109","Conditionals should start on new lines","CRITICAL","suspicious"
"1111","Getters and setters should be synchronized in pairs","MAJOR","cert,multi-threading"
"1112","IP addresses should not be hardcoded","MINOR","cert"
"1113","Non-thread-safe fields should not be static","MAJOR","multi-threading"
"1115","The Object.finalize() method should not be overriden","CRITICAL","cert,unpredictable"
"1116","""for"" loop stop conditions should be invariant","MAJOR","misra,pitfall"
"1117","Method parameters, caught exceptions and foreach variables' initial values should not be ignored","MINOR","misra"
"1118","Silly bit operations should not be performed","BLOCKER","suspicious"
"1120","""Threads"" should not be used where ""Runnables"" are expected","MAJOR","multi-threading,pitfall"
"1121","The default unnamed package should not be used","MINOR","convention"
"1122","Methods should not be named ""hashcode"" or ""equal""","MAJOR","pitfall"
"1123","""readObject"" should not be ""synchronized""","MAJOR","confusing"
"1124","Non-constructor methods should not have the same name as the enclosing class","MAJOR","pitfall"
"1125","The value returned from a stream read should be checked","MINOR","cert"
"1126","Methods should not return constants","MINOR","confusing"
"1127","""read"" and ""readLine"" return values should be used","MAJOR",""
"1128","Neither ""Math.abs"" nor negation should be used on numbers that could be ""MIN_VALUE""","MINOR",""
"1129","Execution of the Garbage Collector should be triggered only by the JVM","CRITICAL","bad-practice,unpredictable"
"1131","""null"" should not be used with ""Optional""","MAJOR","java8"
"1132","Arrays should not be created for varargs parameters","MINOR","clumsy"
"1133","Thread.run() should not be called directly","MAJOR","cert,cwe,multi-threading"
"1134","Methods returns should not be invariant","BLOCKER",""
"1135","""switch"" statements should not contain non-case labels","BLOCKER","misra,suspicious"
"1136","Zero should not be a possible denominator","CRITICAL","cert,cwe,denial-of-service"
"1137","Private fields only used as local variables in methods should become local variables","MINOR","pitfall"
"1140","""equals(Object obj)"" should be overridden along with the ""compareTo(T obj)"" method","MINOR",""
"1141","Generic wildcard types should not be used in return parameters","CRITICAL","pitfall"
"1147","""Arrays.stream"" should be used for primitive arrays","MAJOR","performance"
"1150","Constants should not be defined in interfaces","CRITICAL","bad-practice"
"1152","Nested ""enum""s should not be declared static","MINOR","clumsy"
"1154","""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations","CRITICAL","cert,cwe"
"1155","""File.createTempFile"" should not be used to create a directory","CRITICAL","owasp-a9"
"1156","""clone"" should not be overridden","BLOCKER","suspicious"
"1157","""Map.get"" and value test should be replaced with single method call","MAJOR","java8"
"1158","""catch"" clauses should do more than rethrow","MINOR","cert,clumsy,finding,unused"
"1159","Assertions should be complete","BLOCKER","tests"
"1160","Maps with keys that are enum values should be replaced with EnumMap","MINOR","performance"
"1164","Strings should not be concatenated using '+' in a loop","MINOR","performance"
"1165","Identical expressions should not be used on both sides of a binary operator","MAJOR","cert"
"1167","Sections of code should not be ""commented out""","MAJOR","misra,unused"
"1170","Two branches in a conditional structure should not have exactly the same implementation","MAJOR","design,suspicious"
"1171","Classes should not be compared by name","MAJOR","cert,cwe"
"1172","Jump statements should not be used unconditionally","MAJOR","cert,misra,unused"
"1173","""for"" loop increment clauses should modify the loops' counters","CRITICAL","confusing"
"1174","""@NonNull"" values should not be set to null","MINOR","cert,cwe"
"1175","Java 8's ""Files.exists"" should not be used","MAJOR","java8,performance"
"1176","""=+"" should not be used instead of ""+=""","MAJOR",""
"1177","Inappropriate regular expressions should not be used","MAJOR",""
"1178","Method overrides should not change contracts","CRITICAL","suspicious"
"1180","""switch"" statements should have at least 3 ""case"" clauses","MINOR","bad-practice,misra"
"1181","Variables should not be self-assigned","MAJOR","cert"
"1183","Multiple variables should not be declared on the same line","MINOR","cert,convention,misra"
"1184","Consumed Stream pipelines should not be reused","MAJOR","java8"
"1185","The Object.finalize() method should not be called","MAJOR","cert,cwe"
"1186","Intermediate Stream methods should not be left unused","MAJOR","java8"
"1187","""Preconditions"" and logging arguments should not require evaluation","MAJOR","performance"
"1188","Assignments should not be made from within sub-expressions","MAJOR","cert,cwe,misra,suspicious"
"1190","""entrySet()"" should be iterated when both the key and value are needed","MAJOR","performance"
"1192","""@Override"" should be used on overriding and implementing methods","MAJOR","bad-practice"
"1193","A ""for"" loop update clause should move the counter in the right direction","MAJOR","cert"
"1194","Parsing should be used to convert ""Strings"" to primitives","MINOR","performance"
"1200","Exceptions should not be thrown in finally blocks","CRITICAL","cert,error-handling,suspicious"
"1202","Loop conditions should be true at least once","MAJOR",""
"1203","Primitives should not be boxed just for ""String"" conversion","MAJOR","performance"
"1204","Exception classes should be immutable","MINOR","error-handling"
"1205","Classes extending java.lang.Thread should override the ""run"" method","MAJOR","multi-threading,pitfall"
"1207","""HttpServletRequest.getRequestedSessionId()"" should not be used","CRITICAL","cwe,owasp-a2,sans-top25-porous"
"1208","Objects should not be created only to ""getClass""","MAJOR","performance"
"1210","Expressions used in ""assert"" should not produce side effects","MAJOR","cert"
"1211","Empty arrays and collections should be returned instead of null","MAJOR","cert"
"1212","Null pointers should not be dereferenced","MAJOR","cert,cwe"
"1215","Class names should comply with a naming convention","MINOR","convention"
"1216","Method names should comply with a naming convention","MINOR","convention"
"1217","Enumeration should not be implemented","MAJOR","obsolete"
"1219","Constructors should not be used to instantiate ""String"" and primitive-wrapper classes","MAJOR","performance"
"1220","String.valueOf() should not be appended to a String","MINOR","clumsy"
"1221","Values should not be uselessly incremented","MAJOR","unused"
"1222","Labels should not be used","MAJOR","confusing"
"1223","Collection.isEmpty() should be used to test for emptiness","MINOR","clumsy"
"1224","""ScheduledThreadPoolExecutor"" should not have 0 core threads","CRITICAL",""
"1226","Case insensitive string comparisons should be made without intermediate upper or lower casing","MINOR","clumsy"
"1228","Primitive wrappers should not be instantiated only for ""toString"" or ""compareTo"" calls","MINOR","clumsy"
"1229","""Double.longBitsToDouble"" should not be used for ""int""","MAJOR",""
"1230","Printf-style format strings should be used correctly","MAJOR","cert,confusing"
"1232","Classes should not access their own subclasses during initialization","CRITICAL","cert"
"1233","Throwable and Error should not be caught","MAJOR","bad-practice,cert,cwe,error-handling"
"1234","Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""","MINOR","cert,convention,cwe"
"1235","JUnit framework methods should be declared properly","BLOCKER","tests"
"1236","""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object","MAJOR","multi-threading"
"1237","""Iterator.next()"" methods should throw ""NoSuchElementException""","MINOR","unpredictable"
"1238","""runFinalizersOnExit"" should not be called","CRITICAL","cert"
"1239","Static non-final field names should comply with a naming convention","MINOR","convention"
"1241","Overriding methods should do more than simply call the same method in the super class","MINOR","clumsy,redundant"
"1242","Printf-style format strings should not lead to unexpected behavior at runtime","BLOCKER","cert,pitfall"
"1243","Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting","MAJOR",""
"1244","Methods should not be empty","CRITICAL","suspicious"
"1245","Unused labels should be removed","MAJOR","cert,misra,unused"
"1246","""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop","CRITICAL","cert,multi-threading"
"1247","Boxing and unboxing should not be immediately reversed","MINOR","clumsy"
"1249","Collapsible ""if"" statements should be merged","MAJOR","clumsy"
"1250","Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding)","CRITICAL","cwe,owasp-a5,owasp-a6,sans-top25-porous"
"1254","""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held","BLOCKER","cert,multi-threading,performance"
"1255","Unused ""private"" fields should be removed","MAJOR","cert,unused"
"1256","Neither DES (Data Encryption Standard) nor DESede (3DES) should be used","BLOCKER","cert,cwe,owasp-a6,sans-top25-porous"
"1257","""Cloneables"" should implement ""clone""","CRITICAL","api-design,convention"
"1259","Silly equality checks should not be made","MAJOR","cert,unused"
"1261","Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""","MINOR","convention"
"1262","Only static class initializers should be used","MAJOR","pitfall"
"1263","Unused method parameters should be removed","MAJOR","cert,misra,unused"
"1265","Methods of ""Random"" that return floating point values should not be used in random integer generation","MINOR","clumsy"
"1267","""Object.finalize()"" should remain protected (versus public) when overriding","CRITICAL","cert,cwe"
"1269","The signature of ""finalize()"" should match that of ""Object.finalize()""","CRITICAL","pitfall"
"1271","""InterruptedException"" should not be ignored","MAJOR","cwe,multi-threading"
"1272","Child class fields should not shadow parent class fields","BLOCKER","confusing"
"1273","Defined filters should be used","CRITICAL","injection,owasp-a1"
"1274","Mutable fields should not be ""public static""","MINOR","cert,cwe,unpredictable"
"1275","Catches should be combined","MINOR","clumsy"
"1276","Double Brace Initialization should not be used","MINOR","leak"
"1277","Inner class calls to super class methods should be unambiguous","MAJOR","pitfall"
"1279","Ternary operators should not be nested","MAJOR","confusing"
"1280","Unused local variables should be removed","MINOR","unused"
"1283","""indexOf"" checks should not be for positive numbers","CRITICAL","suspicious"
"1285","""PreparedStatement"" and ""ResultSet"" methods should be called with valid indices","BLOCKER","sql"
"1286","Deprecated ""${pom}"" properties should not be used","MINOR","maven,obsolete"
"1292","Instance methods should not write to ""static"" fields","CRITICAL","multi-threading"
"1293","Dependencies should not have ""system"" scope","CRITICAL","lock-in,maven"
"1294","Boolean literals should not be redundant","MINOR","clumsy"
"1295","Local variables should not be declared and then immediately returned or thrown","MINOR","clumsy"
"1298","Return of boolean expressions should not be wrapped into an ""if-then-else"" statement","MINOR","clumsy"
"1300","Redundant pairs of parentheses should be removed","MAJOR","confusing"
"1301","Unused ""private"" methods should be removed","MAJOR","cert,unused"
"1302","Useless imports should be removed","MINOR","unused"
"1303","""switch"" statements should not have too many ""case"" clauses","MAJOR","brain-overload"
"1305","Unused type parameters should be removed","MAJOR","cert,unused"
"1306","Null should not be returned from a ""Boolean"" method","CRITICAL","cert,cwe,pitfall"
"1307","Assertion arguments should be passed in the correct order","MAJOR","suspicious,tests"
"1308","Utility classes should not have public constructors","MAJOR","design"
"1311","""static"" members should be accessed statically","MAJOR","pitfall"
"1314","Classes with only ""static"" methods should not be instantiated","MAJOR","clumsy"
"1315","Multiline blocks should be enclosed in curly braces","MAJOR","cert,cwe"
"1316","""compareTo"" results should not be checked for specific values","MINOR","unpredictable"
"1317","""Lock"" objects should not be ""synchronized""","MAJOR","cert,clumsy,multi-threading"
"1318","Non-serializable objects should not be stored in ""HttpSession"" objects","MAJOR","cwe"
"1319","""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used","MINOR","obsolete,pitfall"
"1321","Return values from functions without side effects should not be ignored","MAJOR","cert,misra"
"1322","Package declaration should match source file directory","CRITICAL","pitfall"
"1323",""".equals()"" should not be used to test the values of ""Atomic"" classes","MAJOR","multi-threading"
"1324","""notifyAll"" should be used","MAJOR","cert,multi-threading"
"1326","Blocks should be synchronized on ""private final"" fields","MAJOR","cert,cwe,multi-threading"
"1327","Cognitive Complexity of methods should not be too high","CRITICAL","brain-overload"
"1329","Optional value should only be accessed after calling isPresent()","MAJOR","cwe"
"1330","Generic exceptions should never be thrown","MAJOR","cert,cwe,error-handling"
"1331","Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used","MAJOR","performance"
"1332","Non-serializable classes should not be written","MAJOR","serialization"
"1333","Methods should not have too many parameters","MAJOR","brain-overload"
"1334","Try-catch blocks should not be nested","MAJOR","confusing"
"1336","Invalid ""Date"" values should not be used","MAJOR",""
"1338","Non-public methods should not be ""@Transactional""","MAJOR","spring"
"1339","Jump statements should not occur in ""finally"" blocks","MAJOR","cert,cwe,error-handling"
"1340","""URL.hashCode"" and ""URL.equals"" should be avoided","MAJOR","performance"
"1341","A ""while"" loop should be used instead of a ""for"" loop","MINOR","clumsy"
"1342","Nested blocks of code should not be left empty","MAJOR","suspicious"
"1343","""ResultSet.isLast()"" should not be used","MAJOR","performance,pitfall,sql"
"1344","""BigDecimal(double)"" should not be used","MAJOR","cert"
"1347","Collections should not be passed as arguments to their own methods","MAJOR",""
"1348","IllegalMonitorStateException should not be caught","CRITICAL","multi-threading"
"1351","""hashCode"" and ""toString"" should not be called on array instances","MAJOR",""
"1353","Throwable.printStackTrace(...) should not be called","MINOR","error-handling"
"1354","Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances","BLOCKER","multi-threading"
"1357","Package names should comply with a naming convention","MINOR","convention"
"1360","""SingleConnectionFactory"" instances should be set to ""reconnectOnException""","MAJOR","spring"
"1361","Value-based objects should not be serialized","MINOR","java8,lock-in,serialization"
"1362","Reflection should not be used to check non-runtime annotations","MAJOR",""
"1365","Conditionally executed blocks should be reachable","MAJOR","cert,cwe,misra,pitfall,unused"
"1366","Local variable and method parameter names should comply with a naming convention","MINOR","convention"
"1368","Locks should be released","CRITICAL","cwe,multi-threading"
"1370","Type parameter names should comply with a naming convention","MINOR","convention"
"1371","Deprecated code should be removed","INFO","obsolete"
"1373","Interface names should comply with a naming convention","MINOR","convention"
"1374","Track uses of ""FIXME"" tags","MAJOR","cwe"
"1376","Track uses of ""TODO"" tags","INFO","cwe"
"1377","Field names should comply with a naming convention","MINOR","convention"
"1378","Servlets should not have mutable instance fields","MAJOR","cert,multi-threading,struts"
"1379","Value-based classes should not be used for locking","MAJOR","java8,lock-in,multi-threading"
"1380","Boolean expressions should not be gratuitous","MAJOR","cert,cwe,misra,redundant"
"1381","Constant names should comply with a naming convention","CRITICAL","convention"
"1382","""toString()"" and ""clone()"" methods should not return null","MAJOR","cert,cwe"
